4.0
8.0
9.0
11.0
12.0
14.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0

Problem: four_peaks
Algorithm: MIMIC
Optimal Value: 17.0
Fitness function evaluations: 5400.0
