4.0
7.0
9.0
10.0
11.0
16.0
16.0
16.0
17.0
18.0
19.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0

Problem: four_peaks
Algorithm: MIMIC
Optimal Value: 22.0
Fitness function evaluations: 6400.0
