4.0
8.0
11.0
14.0
16.0
16.0
17.0
21.0
22.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0
24.0

Problem: four_peaks
Algorithm: MIMIC
Optimal Value: 26.0
Fitness function evaluations: 6000.0
